TIME: 0.000, TIME STEP: 0.001, STEADY TIME: 0.000, FINAL TIME: 0.010, NUMBER OF PARTICLES : 2021, LINEAR SIZE (L) = 126.00, SELF-VELOCITY (V0): 1.00
SET PARAMETERS: PHI = 0.10, Pe = 1.00, TAU = 1.0, SAMPLE = 0
X           Y        X_VIRTUAL     Y_VIRTUAL       VX         VY         THETA
105.539932  72.075620   105.539932   72.075620    0.956476    0.291811    0.296120 
3.331757  59.890807   3.331757   59.890807    0.306817    0.951769    1.258950 
21.186063  76.916009   21.186063   76.916009    31.024451    0.622422    3.587067 
38.629914  120.556666   38.629914   120.556666    24.493122    1.882308    4.043443 
80.136726  8.654240   80.136726   8.654240    1.034618    -1.925215    4.842973 
95.419918  60.547944   95.419918   60.547944    22.262936    27.831074    0.885327 
14.530672  80.726172   14.530672   80.726172    7.218265    1.983223    4.489918 
89.014393  98.785646   89.014393   98.785646    21.480329    6.316494    2.458244 
33.835944  98.339032   33.835944   98.339032    -0.204725    -0.978819    4.506206 
34.906901  10.228004   34.906901   10.228004    14.827383    -10.042837    0.734088 
24.707542  78.021126   24.707542   78.021126    0.192321    0.981332    1.377269 
69.211792  71.508923   69.211792   71.508923    -0.780753    -0.624839    3.816518 
9.074150  111.238232   9.074150   111.238232    0.710742    0.703453    0.780245 
71.288500  39.895147   71.288500   39.895147    0.586518    0.809936    0.944043 
25.904062  85.210410   25.904062   85.210410    -0.553699    0.832717    2.157596 
5.339912  102.811393   5.339912   102.811393    0.982807    0.184633    0.185699 
89.184427  51.601279   89.184427   51.601279    1.344017    2.634525    0.380767 
118.389003  0.395986   118.389003   0.395986    -10.481477    15.312810    5.565141 
118.241229  124.920070   118.241229   124.920070    -0.638330    0.769763    2.263123 
123.067829  3.320102   123.067829   3.320102    -0.686629    0.727008    2.327638 
106.620130  55.216132   106.620130   55.216132    -0.545297    0.838243    2.147540 
71.895583  13.035643   71.895583   13.035643    -0.292074    -0.956396    4.415994 
30.268546  86.216374   30.268546   86.216374    0.451464    0.892290    1.102391 
64.715609  113.512663   64.715609   113.512663    0.979718    -0.200381    6.081438 
59.768154  51.349242   59.768154   51.349242    -0.986267    0.165161    2.975671 
14.493036  18.378177   14.493036   18.378177    -0.041700    -0.999130    4.670676 
32.784010  66.805134   32.784010   66.805134    -0.273548    -0.961858    4.435310 
18.750475  51.505959   18.750475   51.505959    -0.590208    9.866894    0.491407 
80.526896  2.044068   80.526896   2.044068    0.870138    0.492808    0.515313 
73.092171  20.287636   73.092171   20.287636    0.125014    0.992155    1.445454 
9.665388  18.538700   9.665388   18.538700    -0.072222    0.997389    1.643081 
18.088765  58.937798   18.088765   58.937798    0.864012    0.503472    0.527612 
60.150599  70.341304   60.150599   70.341304    -0.176818    -0.984244    4.534637 
10.190502  37.121708   10.190502   37.121708    -0.999841    0.017843    3.123749 
41.788667  10.666866   41.788667   10.666866    -0.307381    0.951587    1.883236 
25.511719  13.577799   25.511719   13.577799    6.330584    12.121488    0.618638 
105.260293  104.175892   105.260293   104.175892    0.456697    0.889622    1.096517 
67.501180  59.363437   67.501180   59.363437    0.870853    -0.491543    5.769325 
64.061921  96.731663   64.061921   96.731663    -0.291453    -0.956585    4.416644 
58.422446  84.526307   58.422446   84.526307    0.992751    -0.120186    6.162709 
107.562114  94.870439   107.562114   94.870439    0.804684    -0.593703    5.647533 
10.974894  100.655299   10.974894   100.655299    -0.157082    -0.987586    4.554654 
57.597290  45.841475   57.597290   45.841475    -2.822851    30.816366    2.337980 
75.227765  7.275792   75.227765   7.275792    -6.993046    -5.322019    4.859650 
70.630432  82.687135   70.630432   82.687135    0.693838    0.720131    0.803991 
65.840978  106.309390   65.840978   106.309390    0.905544    0.424253    0.438137 
0.370096  113.407072   0.370096   113.407072    -4.966160    -15.953400    0.990776 
23.601242  121.745892   23.601242   121.745892    15.684267    -6.942725    1.374677 
89.468839  74.087079   89.468839   74.087079    -6.919540    7.741245    5.121135 
97.494180  29.331512   97.494180   29.331512    1.933070    0.147667    4.197568 
46.967477  103.810959   46.967477   103.810959    0.239276    0.970952    1.329176 
77.134215  15.463389   77.134215   15.463389    0.503688    0.863886    1.042934 
0.135253  65.326083   0.135253   65.326083    -0.932186    0.361979    2.771203 
86.688657  4.092451   86.688657   4.092451    -0.964452    0.264257    2.874159 
63.485748  35.263002   63.485748   35.263002    3.840233    1.781976    2.561762 
45.897505  46.678587   45.897505   46.678587    0.999959    0.009090    6.292275 
10.311637  77.445362   10.311637   77.445362    11.228171    12.523584    5.993175 
44.865250  122.386600   44.865250   122.386600    -1.737507    -0.691113    5.051779 
54.150348  98.964025   54.150348   98.964025    -2.085920    -0.727808    1.144808 
67.278446  30.587558   67.278446   30.587558    24.506502    6.669094    0.747237 
97.919959  23.095587   97.919959   23.095587    -12.771074    7.927282    3.889112 
117.762289  39.701522   117.762289   39.701522    -0.996685    0.081354    3.060149 
12.777198  46.924352   12.777198   46.924352    1.348386    4.056927    2.276096 
112.758370  124.377842   112.758370   124.377842    0.753827    -0.657073    5.566256 
18.813468  117.879174   18.813468   117.879174    0.785603    0.618731    0.667126 
110.393344  32.992029   110.393344   32.992029    0.148365    -0.988933    4.861304 
67.876015  43.747922   67.876015   43.747922    0.723053    0.690793    0.762585 
46.618713  59.755019   46.618713   59.755019    -0.715694    0.698414    2.368414 
117.278833  62.461962   117.278833   62.461962    -14.149532    -9.146669    4.604199 
120.517317  37.650999   120.517317   37.650999    5.513860    0.922597    2.976932 
103.573886  48.170370   103.573886   48.170370    -0.950320    0.311275    2.825058 
43.861927  83.258282   43.861927   83.258282    -0.189566    -0.981868    4.521669 
83.795761  101.423173   83.795761   101.423173    0.542428    -0.759078    5.330577 
40.527798  60.132991   40.527798   60.132991    0.871213    -0.490905    5.770057 
53.612340  119.224258   53.612340   119.224258    -0.939809    -0.341699    3.490317 
53.646884  38.941718   53.646884   38.941718    0.832033    0.554726    0.588033 
44.585486  67.427051   44.585486   67.427051    -0.283876    -0.958861    4.424555 
92.885304  117.041577   92.885304   117.041577    0.750223    0.661185    0.722397 
119.001901  3.092857   119.001901   3.092857    0.643075    0.765803    0.872289 
25.205734  12.940975   25.205734   12.940975    -6.348146    -10.987133    2.553916 
51.189881  55.878828   51.189881   55.878828    0.968573    0.248729    0.251368 
32.521098  102.227301   32.521098   102.227301    -0.380344    -0.924845    4.322220 
81.635022  64.411582   81.635022   64.411582    25.871172    25.235978    0.641314 
19.550034  79.794083   19.550034   79.794083    -21.919711    2.203721    3.100466 
26.922903  111.684535   26.922903   111.684535    0.778506    0.627637    0.678515 
2.435157  108.577229   2.435157   108.577229    0.996286    -0.086108    6.196971 
16.811719  71.799734   16.811719   71.799734    0.686711    0.726931    0.813841 
108.815739  68.665798   108.815739   68.665798    0.655230    0.755430    0.856310 
40.032101  54.328642   40.032101   54.328642    -0.965137    0.261744    2.876764 
101.800013  90.898565   101.800013   90.898565    0.974952    -0.222414    6.058895 
117.334081  14.512326   117.334081   14.512326    0.581113    -0.813823    5.332485 
